,walks,hits,hr,runs,rbi,sb,post_ab,post_h,post_games,assists,po,errors,as_games,mvp,gg,ws_wins,ws_losses,gp,firstyear,OBP,SLG,AVG,L,R,R,2B,3B,CATCHER,CF,DH,LF,RF,SS,prob,inducted,playerID,nameFirst,nameLast
58,526,1759,110,863,662,215,0.0,0.0,0.0,78,3687,31,1.0,0.0,0.0,0.0,0.0,1717,2016,0.3428152492668622,0.41610087293889425,0.28435176204332363,0,0,1,0,0,0,1,0,0,0,0,0.0,,winnra01,Randy,Winn
59,932,1393,292,767,976,7,97.0,18.0,31.0,114,2478,59,0.0,0.0,0.0,2.0,0.0,1640,2017,0.36134969325153377,0.4724695620570598,0.25313465382518624,0,1,1,0,0,0,0,0,1,0,0,0.0,,burrepa01,Pat,Burrell
60,648,2091,191,940,1097,109,143.0,42.0,48.0,84,887,41,3.0,0.0,0.0,1.0,3.0,2084,1993,0.35093399750933996,0.4544195067885841,0.28969243557772234,0,1,1,0,0,0,0,1,0,0,0,0.01,,mcraeha01,Hal,McRae
62,1275,2239,255,1139,1230,11,237.0,66.0,66.0,1418,16165,82,2.0,0.0,3.0,2.0,0.0,2234,2011,0.397967075461275,0.4649631190727081,0.2949157007376185,1,0,0,0,0,0,0,0,0,0,0,0.07,0.0,olerujo01,John,Olerud
63,693,1313,319,744,1008,2,63.0,18.0,19.0,694,7382,70,3.0,0.0,0.0,1.0,0.0,1470,2004,0.3450075770331706,0.4816753926701571,0.25460539073104516,0,1,1,0,0,0,0,0,0,0,0,0.0,,fieldce01,Cecil,Fielder
64,571,1699,242,806,904,37,65.0,16.0,25.0,921,5159,85,0.0,0.0,0.0,2.0,0.0,1681,2018,0.3415856174476864,0.4641218872870249,0.27834207077326345,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,huffau01,Aubrey,Huff
65,940,2011,234,1083,978,183,65.0,21.0,19.0,135,3226,112,1.0,0.0,0.0,0.0,1.0,2033,1993,0.36376988984088127,0.43850566671330626,0.28137680145515603,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0,matthga01,Gary,Matthews
66,446,881,116,510,441,128,38.0,10.0,17.0,376,1803,43,0.0,0.0,0.0,1.0,1.0,1368,1991,0.33728856349406716,0.403337169159954,0.2534522439585731,1,0,1,0,0,0,0,0,1,0,0,0.0,,lowenjo01,John,Lowenstein
68,626,1591,200,706,758,24,36.0,5.0,10.0,813,11235,81,8.0,0.0,5.0,1.0,0.0,1774,1982,0.33974639265413203,0.4119874855919644,0.2619792524287831,0,1,1,0,0,1,0,0,0,0,0,0.03,0.0,freehbi01,Bill,Freehan
69,556,1949,54,913,550,444,87.0,24.0,26.0,4817,3617,190,5.0,0.0,0.0,2.0,0.0,1769,2000,0.33465660976578004,0.35778097982708934,0.280835734870317,0,1,1,1,0,0,0,0,0,0,0,0.0,,saxst01,Steve,Sax
70,836,2514,201,1151,1106,55,0.0,0.0,0.0,5009,2196,262,5.0,0.0,6.0,0.0,0.0,2405,1995,0.34053673736053874,0.40622568093385214,0.2794886047804336,0,1,1,0,1,0,0,0,0,0,0,0.23,0.0,bellbu01,Buddy,Bell
71,203,1597,150,736,668,212,51.0,14.0,27.0,3808,2722,215,1.0,0.0,0.0,0.0,1.0,1814,2008,0.29598070739549837,0.41555593048759915,0.2694449131094989,0,1,1,0,0,0,0,0,0,0,1,0.0,,dunstsh01,Shawon,Dunston
72,365,1313,113,474,628,6,65.0,13.0,19.0,638,6754,108,3.0,0.0,0.0,0.0,2.0,1491,1997,0.3137618077421745,0.3856196023297851,0.26370757180156656,1,0,1,0,0,1,0,0,0,0,0,0.0,,kennete02,Terry,Kennedy
73,342,1342,144,614,723,163,27.0,10.0,10.0,81,2191,62,2.0,0.0,0.0,0.0,1.0,1415,1996,0.31217995610826627,0.41050545094152624,0.26600594648166503,0,1,1,0,0,0,0,0,1,0,0,0.0,,leonaje01,Jeffrey,Leonard
74,790,3141,135,1383,1138,319,108.0,33.0,27.0,160,4512,62,13.0,0.0,5.0,0.0,2.0,2440,2007,0.3882399136153922,0.4585486649440138,0.3381782945736434,1,0,0,0,0,0,0,0,0,1,0,0.92,,gwynnto01,Tony,Gwynn
75,1305,2490,493,1349,1550,72,188.0,57.0,50.0,1447,18985,167,5.0,0.0,0.0,1.0,1.0,2460,2010,0.3769170271333071,0.5090784515244947,0.2843439534087016,1,0,0,0,0,0,0,0,0,0,0,0.26,0.0,mcgrifr01,Fred,McGriff
77,1012,1868,316,977,1139,24,161.0,42.0,45.0,4019,1555,224,6.0,0.0,0.0,1.0,3.0,2073,1993,0.3536907910555422,0.4448478078748953,0.2608209997207484,0,1,1,0,1,0,0,0,0,0,0,0.0,,ceyro01,Ron,Cey
78,510,1331,124,733,660,74,61.0,21.0,19.0,2888,1972,165,2.0,0.0,0.0,0.0,1.0,1305,2017,0.35492474757096587,0.4431842499465012,0.2848277337898566,0,0,1,0,0,0,0,0,0,0,1,0.0,,guillca01,Carlos,Guillen
80,698,1270,101,605,606,34,49.0,8.0,15.0,3688,3108,218,2.0,0.0,0.0,0.0,1.0,1598,1980,0.34251700680272107,0.3703411555906133,0.2504436994675606,0,1,1,0,0,0,0,0,0,0,1,0.0,0.0,menkede01,Denis,Menke
83,311,1777,31,780,427,156,69.0,16.0,21.0,176,3794,71,2.0,0.0,0.0,1.0,1.0,1667,1980,0.3445255474452555,0.381067541889791,0.30696147866643636,1,0,0,0,0,0,1,0,0,0,0,0.0,,alouma01,Matty,Alou
84,223,1500,65,566,585,35,103.0,29.0,29.0,575,6646,105,1.0,0.0,0.0,2.0,0.0,1448,1986,0.32623318385650224,0.3978664559462663,0.2963255630185697,0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,sanguma01,Manny,Sanguillen
85,800,1889,28,1001,443,370,82.0,18.0,20.0,4484,3287,124,3.0,0.0,3.0,2.0,0.0,1720,2016,0.3675830157866086,0.3509984639016897,0.2901689708141321,0,0,1,1,0,0,0,0,0,0,0,0.01,,castilu01,Luis,Castillo
87,759,2127,427,1048,1335,17,120.0,29.0,32.0,768,11347,132,11.0,0.0,0.0,0.0,1.0,1912,2013,0.37650096836668817,0.5452177687744176,0.3077702213861959,0,1,1,0,0,1,0,0,0,0,0,0.83,,piazzmi01,Mike,Piazza
88,925,2732,379,1272,1652,49,172.0,41.0,47.0,2440,15127,240,7.0,0.0,0.0,2.0,3.0,2777,1992,0.340950976778474,0.4634894661484966,0.27940274084679895,0,1,1,0,0,0,0,0,0,0,0,0.49,1.0,perezto01,Tony,Perez
89,1096,3154,317,1583,1596,201,166.0,56.0,43.0,3984,5503,292,10.0,1.0,1.0,1.0,1.0,2707,1999,0.3692878082428005,0.4873900859986472,0.3047637452893999,1,0,1,0,1,0,0,0,0,0,0,0.87,1.0,brettge01,George,Brett
90,323,696,46,334,312,91,0.0,0.0,0.0,520,4059,75,3.0,0.0,0.0,0.0,0.0,810,1990,0.34128800261523373,0.3752331219694144,0.2596046251398732,0,1,1,0,0,1,0,0,0,0,0,0.0,,stearjo01,John,Stearns
91,618,1505,237,778,879,58,89.0,24.0,23.0,3344,1483,206,1.0,0.0,0.0,0.0,2.0,1649,1993,0.32923832923832924,0.44517128593561717,0.2590807367877432,0,1,1,0,1,0,0,0,0,0,0,0.0,,decindo01,Doug,DeCinces
92,670,2452,382,1249,1451,58,71.0,16.0,18.0,137,3103,66,7.0,1.0,0.0,0.0,2.0,2089,1995,0.3519275378327626,0.5020060790273556,0.29811550151975685,0,1,1,0,0,0,0,0,1,0,0,0.59,,riceji01,Jim,Rice
