playerID,nameFirst,nameLast,bats,throws,walks,hits,ab,singles,doubles,triples,hr,hbp,sacf,runs,rbi,sb,post_ab,post_h,post_games,assists,po,errors,as_games,mvp,gg,ws_wins,ws_losses,gp,mfp,firstyear,inducted
smithle02,Lee,Smith,R,R,3,3,64,2,0,0,1,0,0,2,2,0,0,0,4,111,52,4,3,0,0,NULL,NULL,1023,PITCHER,2003,0
jordabr01,Brian,Jordan,R,R,353,1454,5160,966,267,37,184,74,57,755,821,119,140,35,38,96,2852,35,1,NULL,NULL,NULL,1,1456,RF,2012,0
rayji01,Jim,Ray,R,R,2,16,117,16,0,0,0,1,0,4,6,0,NULL,NULL,NULL,70,26,2,NULL,NULL,NULL,NULL,NULL,309,PITCHER,1980,0
martied01,Edgar,Martinez,R,R,1283,2247,7213,1409,514,15,309,89,77,1219,1261,49,128,34,34,1025,566,81,7,0,0,NULL,NULL,2055,DH,2010,0
seguidi01,Diego,Segui,R,R,14,58,384,48,5,1,4,1,1,26,24,0,2,0,2,243,128,17,NULL,NULL,NULL,1,1,640,PITCHER,1983,0
willimi02,Mitch,Williams,L,L,1,3,16,2,0,0,1,0,0,2,4,0,0,0,9,75,14,17,1,NULL,NULL,NULL,1,619,PITCHER,2003,0
wakefti01,Tim,Wakefield,R,R,3,13,111,10,2,0,1,1,0,4,4,0,6,0,18,329,227,30,0,0,0,2,NULL,630,PITCHER,2017,0
cardele01,Leo,Cardenas,R,R,522,1725,6707,1273,285,49,118,28,48,662,689,39,27,5,9,5429,3271,266,4,0,1,NULL,1,1941,SS,1981,0
caseyse01,Sean,Casey,L,R,477,1531,5066,1067,322,12,130,62,39,690,735,18,39,16,12,558,10875,53,2,0,0,NULL,2,1405,1B,2014,0
buhneja01,Jay,Buhner,R,R,792,1273,5013,711,233,19,310,56,54,797,965,6,85,26,26,100,2537,33,1,0,1,NULL,NULL,1472,RF,2007,0
cashda01,Dave,Cash,R,R,424,1571,5554,1251,243,56,21,18,31,732,426,120,89,21,21,3905,3228,121,3,NULL,NULL,1,NULL,1422,2B,1986,0
schmija01,Jason,Schmidt,R,R,22,63,597,47,9,0,7,2,1,29,21,0,8,0,5,163,91,11,1,0,0,1,2,324,PITCHER,2015,0
carrocl02,Clay,Carroll,R,R,7,27,208,26,0,0,1,0,0,17,7,0,1,0,22,310,60,11,0,0,0,1,2,731,PITCHER,1984,0
yountro01,Robin,Yount,R,R,966,3142,11008,2182,583,126,251,48,123,1632,1406,271,64,22,17,4850,5855,305,3,2,1,NULL,1,2856,SS,1999,1
rosepe01,Pete,Rose,B,R,1566,4256,14053,3215,746,135,160,107,79,2165,1314,198,268,86,67,3349,12394,213,16,1,2,3,3,3562,1B,1992,0
trammal01,Alan,Trammell,R,R,850,2365,8288,1713,412,55,185,37,76,1231,1003,236,51,17,13,6265,3448,235,4,0,4,1,NULL,2293,SS,2002,1
powelbo01,Boog,Powell,L,R,1001,1776,6681,1156,270,11,339,29,72,889,1187,20,126,33,33,880,12796,133,3,1,0,2,3,2042,1B,1983,0
carltst01,Steve,Carlton,L,L,41,346,1719,278,49,6,13,10,13,123,140,2,27,6,16,724,109,42,5,0,1,3,2,745,PITCHER,1994,1
templga01,Garry,Templeton,B,R,375,2096,7721,1591,329,106,70,9,46,893,728,242,34,11,10,6078,3551,386,2,0,0,NULL,1,2079,SS,1997,0
bonilbo01,Bobby,Bonilla,B,R,912,2010,7213,1254,408,61,287,28,97,1084,1173,45,149,32,46,1869,3045,230,6,0,0,1,NULL,2113,3B,2007,0
helmsto01,Tommy,Helms,R,R,231,1342,4997,1064,223,21,34,15,42,414,477,33,29,7,8,3624,2909,130,2,0,2,NULL,1,1435,2B,1983,0
bahnsst01,Stan,Bahnsen,R,R,19,56,479,45,8,2,1,1,1,22,19,0,0,0,1,414,154,35,NULL,0,0,NULL,NULL,575,PITCHER,1988,0
drabedo01,Doug,Drabek,R,R,17,119,716,97,17,3,2,7,2,42,46,0,17,2,7,342,266,29,1,0,0,NULL,NULL,412,PITCHER,2004,0
